claimid,incident_date,claim_type,uninhabitable,claim_amount,fraudulent,policyid,policy_date,coverage,deductible,townsize,gender,dob,edcat,job_start_date,retire,income,marital,reside,occupancy_date,primary_residence
254000489,01/22/2008,1,0,48.51,0,NDI-583753,10/25/1991,1003,3000,3,1,10/11/1954,5,03/23/1996,0,160,1,4,07/22/1988,1
820842725,10/20/2008,1,0,2.29,0,YRF-282775,12/2/1987,64,1000,5,1,11/13/1933,5,5/12/2004,1,18,0,1,1/3/1979,1
75964807,10/5/2008,1,0,46.81,0,TBY-698704,7/4/2006,781,3000,4,1,05/31/1972,1,4/2/2004,0,32,1,4,09/26/2000,1
357706681,8/4/2008,3,0,58.76,0,YHC-910866,07/19/1991,141,3000,4,1,09/27/1948,2,11/18/1990,1,10,0,1,03/17/1982,1
730231371,07/18/2008,2,1,35.86,0,PXM-105817,08/17/1965,118,3000,1,0,2/12/1936,3,09/22/1999,1,22,1,2,01/18/1964,1
128692155,05/31/2008,1,0,6.07,0,OXD-685499,08/28/1999,120,1000,4,1,06/26/1971,2,11/9/2003,0,94,1,4,08/25/1995,1
437167544,8/4/2008,1,0,4.85,0,IJY-066227,05/22/2003,109,1000,4,0,08/24/1979,3,1/7/2007,0,27,0,1,04/15/1999,1
422812221,5/1/2008,1,0,21.09,0,JTH-252478,06/18/2006,364,500,1,1,6/11/1962,4,11/18/2001,0,102,0,1,03/24/2001,1
583979300,11/15/2008,2,0,9.5,0,HQX-401674,06/24/1998,74,1000,3,1,11/18/1972,5,01/21/2007,0,54,0,1,03/22/1996,1
890202230,10/2/2008,3,0,53.14,0,HQU-583590,03/21/1985,136,1000,3,0,12/5/1954,1,02/26/1998,0,62,1,3,03/31/1979,1
589037644,03/31/2008,2,0,36.87,0,JHI-844967,11/14/1988,352,3000,1,0,07/24/1965,2,01/27/1996,0,216,1,6,12/15/1986,1
30148119,01/22/2008,5,0,3.88,0,GQN-576256,01/21/2008,121,1000,4,1,04/23/1990,1,5/2/2008,0,14,1,4,03/13/2008,1
811540200,10/14/2008,2,0,19.53,0,PYG-336352,05/16/1978,275,1000,3,1,03/26/1950,2,02/14/1984,0,117,1,2,05/22/1972,1
982576754,8/10/2008,5,0,4.52,0,XID-288945,03/29/1987,70,500,4,0,04/29/1946,1,5/12/1978,1,10,0,1,01/29/1976,1
78218667,4/3/2008,4,0,97.13,0,MUV-332276,7/8/2002,234,3000,2,1,01/25/1951,2,10/12/1989,0,99,1,2,5/6/1996,1
604520413,03/22/2008,5,0,5.05,0,MJA-465177,8/11/2007,64,1000,3,0,12/21/1987,3,06/21/2008,0,26,1,4,05/16/2007,1
40753323,6/8/2008,2,0,22.33,0,RBZ-204785,11/3/1996,171,1000,1,1,4/2/1932,3,11/23/1988,0,134,0,1,10/8/1988,1
725288227,11/7/2008,3,0,41.02,0,IQI-810800,10/1/1988,110,1000,2,0,03/14/1956,3,03/25/1982,0,120,1,4,06/18/1979,1
173023393,06/21/2008,3,0,79.89,0,XYY-183277,9/2/1998,176,1000,5,0,8/8/1948,3,7/9/1983,1,75,0,3,09/28/1990,1
268815803,07/16/2008,2,0,9.3,0,KUM-949351,02/13/2003,211,1000,5,0,08/14/1973,4,10/12/1999,0,91,0,3,06/13/1997,1
354939476,2/3/2008,1,1,50.51,0,TJC-228858,07/15/2001,337,3000,1,1,09/25/1965,4,02/22/2003,0,82,0,1,02/27/1995,1
523834263,05/25/2008,1,0,2.88,0,ING-763846,02/17/2008,83,3000,4,1,8/8/1989,2,03/26/2008,0,31,1,4,02/17/2008,1
730559166,7/1/2008,5,0,8.52,0,NPZ-276877,07/30/1986,99,500,1,1,06/23/1946,2,11/24/2000,0,22,1,2,10/22/1974,1
969981698,10/20/2008,1,0,24.79,0,QUE-621601,07/19/1983,336,1000,1,1,11/11/1933,1,3/12/1992,0,34,1,2,07/18/1970,1
486519628,1/11/2008,5,0,7.56,0,PLM-948981,05/16/1980,100,3000,4,0,12/18/1933,3,12/7/2003,1,11,1,2,4/9/1973,1
743754428,10/16/2008,1,0,38.23,0,KUY-454779,08/26/2001,1006,1000,2,1,07/27/1969,4,10/26/1998,0,61,1,2,9/8/1996,1
112050495,11/16/2008,4,0,161.93,0,GSD-003710,07/25/2005,383,3000,2,0,12/13/1964,1,11/3/1991,0,86,0,1,12/27/2001,1
973356103,06/18/2008,5,0,3.51,0,CDQ-954081,4/3/1995,199,1000,1,0,07/31/1962,2,05/28/1999,0,60,0,1,11/23/1992,1
282421795,08/14/2008,5,0,18.2,0,YKK-858366,07/16/1999,393,1000,4,1,9/7/1962,3,01/31/2005,0,32,1,2,12/8/1993,1
425361371,02/19/2008,5,0,60.2,0,LXW-551661,07/21/1995,1398,3000,5,0,10/25/1964,3,9/7/2001,0,212,0,1,6/2/1988,1
648827970,01/16/2008,4,0,112.9,0,HOU-737121,4/6/2001,254,1000,3,1,02/21/1959,2,02/19/1990,0,93,1,2,1/2/1996,1
401981595,6/11/2008,3,0,47.9,1,HBR-714199,05/26/2008,136,1000,5,0,09/19/1990,2,08/27/2008,0,15,0,3,05/26/2008,1
2434346,05/16/2008,1,0,2.28,0,HMA-955349,04/17/2005,71,1000,1,0,12/28/1977,5,02/25/2008,0,20,1,8,06/18/2004,1
700904481,02/16/2008,1,1,12.46,0,KNH-752731,10/16/1972,85,1000,3,0,9/9/1934,1,01/27/1970,1,80,0,1,01/29/1964,1
47266848,10/6/2008,5,0,6.37,0,FQS-735572,05/26/2006,88,3000,4,1,02/19/1984,4,2/10/2008,0,31,1,5,8/3/2005,1
511049046,9/1/2008,1,0,8.87,0,AOM-777337,08/18/1999,331,3000,5,0,10/13/1966,1,5/10/1993,0,45,1,2,05/18/1994,0
868904608,12/1/2008,5,0,4.55,1,UMS-193483,08/30/1989,54,1000,3,0,06/28/1939,1,6/10/1974,1,29,0,1,02/27/1980,1
276627337,10/2/2008,3,0,86.88,0,HMA-940293,5/2/2008,197,1000,1,1,4/1/1990,1,02/13/2008,0,27,1,4,04/30/2008,1
682696386,1/4/2008,2,0,13.11,0,RMS-632472,9/6/1981,95,3000,3,0,5/2/1930,2,8/3/1997,1,9,0,1,12/28/1970,1
378022087,7/6/2008,3,1,192,0,RTG-977838,02/16/1994,192,1000,1,0,1/4/1959,1,11/9/1992,0,112,1,2,09/29/1991,1
909568345,07/13/2008,3,0,126.77,0,UJG-111686,08/18/1997,352,2000,4,1,08/26/1965,4,5/3/1998,0,62,0,2,8/4/1996,0
254558471,9/8/2008,4,1,309,0,ZZJ-843650,06/21/2002,309,1000,3,1,10/3/1961,2,04/17/1987,0,138,1,2,5/4/2000,1
908898545,06/20/2008,1,0,2.54,0,VJT-517334,08/19/1999,72,1000,2,1,3/3/1970,4,5/7/2000,0,27,1,5,6/2/1997,1
649973250,11/8/2008,3,1,422,0,QXF-034606,6/9/1998,422,2000,3,0,08/31/1974,4,01/16/2007,0,82,1,5,06/20/1997,1
407181169,1/3/2008,5,0,23.93,0,NVE-815032,10/23/2005,455,1000,1,0,04/30/1971,4,07/24/2004,0,48,1,4,04/24/2000,1
875967512,8/9/2008,3,0,117.09,0,HCI-084167,03/29/1992,236,3000,3,0,10/24/1954,3,09/26/1992,0,163,1,2,6/10/1988,1
290574002,12/6/2008,2,0,6.39,0,WXY-867192,3/8/1975,72,500,3,1,9/2/1931,1,07/23/1986,1,10,0,1,09/21/1969,1
504727950,10/23/2008,3,1,797,0,XFA-333789,2/11/1991,797,3000,3,0,1/4/1950,3,12/23/1995,0,293,0,1,09/13/1983,1
331216566,3/1/2008,5,0,10.61,0,IEQ-278753,3/3/1988,140,2000,4,1,12/4/1961,1,12/3/2001,0,66,0,3,12/20/1986,1
81635024,11/9/2008,1,0,4.52,0,SXG-762742,05/28/2000,119,2000,1,0,07/31/1979,4,01/25/2007,0,30,1,4,1/11/1999,1
46317605,07/25/2008,3,1,63,0,AWY-835227,01/21/2006,63,3000,2,0,11/8/1981,2,01/23/2007,0,15,1,4,10/21/2000,1
929010931,9/6/2008,2,0,33.17,0,IRD-199828,07/14/1989,315,2000,1,1,09/18/1948,2,3/12/1982,1,98,1,2,01/22/1981,1
244020262,08/22/2008,1,0,12.71,0,VPE-275331,10/14/1992,257,1000,4,1,10/6/1958,4,01/13/1988,0,328,1,2,8/6/1983,1
188337122,09/26/2008,5,0,2.61,0,RER-638323,9/4/1991,61,2000,5,1,09/17/1955,2,11/1/1996,0,102,0,1,06/18/1981,1
456653200,02/18/2008,1,0,2.5,0,ZZJ-664374,02/16/2008,60,500,3,1,02/18/1988,3,1/6/2008,0,12,1,3,4/5/2008,1
455309485,10/10/2008,1,0,34.2,0,ZLZ-690463,03/25/2007,483,1000,2,1,10/27/1987,2,07/15/2008,0,24,1,7,03/14/2006,0
939903464,4/10/2008,1,0,4.44,0,QKZ-410246,2/2/2008,74,3000,2,1,09/25/1990,2,8/3/2008,0,13,1,8,2/2/2008,1
901120622,7/2/2008,3,0,90.8,0,PIW-962352,9/3/1986,217,1000,3,0,10/5/1947,4,5/1/1997,0,90,0,1,01/22/1979,1
197961564,9/3/2008,3,0,38.23,0,KUN-623343,12/12/1992,116,500,1,0,07/26/1944,4,11/7/1999,1,27,0,1,11/17/1987,1
809710209,08/13/2008,5,0,12.32,0,QYY-133207,7/10/1981,248,1000,1,0,07/15/1953,3,09/17/1985,0,70,1,2,03/29/1978,0
807310294,1/11/2008,1,0,17.76,0,LCC-861169,09/16/1994,409,2000,2,0,07/30/1963,2,01/18/1991,0,68,0,1,6/7/1987,1
7907651,5/11/2008,3,0,307.2,1,GEA-569539,11/6/2003,708,3000,2,0,09/13/1972,1,12/24/2002,0,46,1,2,11/15/1996,1
57155238,11/13/2008,1,0,36.94,0,JNF-024786,9/10/2000,559,2000,2,0,03/28/1973,2,05/21/1997,0,34,0,1,08/18/1998,1
475061511,05/28/2008,3,0,41.04,0,WMS-687601,04/20/2008,88,1000,5,0,09/19/1951,4,01/29/2005,0,28,0,1,08/23/2003,1
389399727,4/9/2008,5,0,15.26,0,FAB-765425,08/14/1998,268,2000,3,1,06/30/1971,4,01/19/2004,0,40,1,3,07/20/1995,1
629087539,02/18/2008,5,0,33.49,0,ZNO-158535,10/5/2001,656,3000,2,0,05/29/1974,3,11/2/1999,0,52,1,5,03/22/1996,1
587442137,07/16/2008,3,0,169.92,0,KIT-762980,03/31/2007,400,2000,1,0,10/19/1976,2,12/10/2004,0,26,0,3,12/13/2001,1
251340280,12/1/2008,3,0,289.34,0,AJF-103803,4/10/1993,687,3000,3,1,06/19/1948,2,5/4/1996,0,59,0,1,10/2/1985,1
931416882,11/18/2008,3,1,206,0,SSN-203273,06/25/1999,206,3000,1,1,01/31/1961,2,12/13/1995,0,37,1,2,03/20/1993,1
826808229,10/30/2008,3,0,36.3,0,DVR-825170,02/14/1979,75,1000,1,0,07/31/1951,4,4/3/1984,1,32,0,1,07/15/1972,1
541281122,04/30/2008,3,0,209.82,0,ORZ-257046,07/22/1997,526,3000,3,1,08/25/1940,3,11/13/1983,1,27,0,1,3/2/1992,1
141570438,12/11/2008,5,0,6.1,0,MDN-384059,09/24/2004,138,1000,2,0,9/12/1979,3,09/20/2008,0,27,1,2,10/15/1998,1
673065610,04/19/2008,1,0,46.14,0,BAN-611311,3/6/1988,998,2000,1,0,09/21/1953,5,02/20/1985,0,1026,0,3,09/14/1985,1
84863140,09/27/2008,2,0,21.26,0,EFA-492821,03/20/1974,137,1000,1,0,5/7/1934,2,10/15/1979,1,37,1,2,09/25/1963,1
521110159,10/8/2008,1,0,6.54,0,SZW-490665,10/20/1991,253,1000,4,0,02/23/1953,1,05/18/1993,0,66,1,2,03/14/1984,1
468405259,10/1/2008,2,0,19.43,0,VHT-529530,07/21/1990,172,1000,4,1,3/11/1957,4,06/21/1992,0,102,0,1,12/22/1982,1
892383935,12/1/2008,3,0,35.43,0,RJL-647632,01/18/2004,95,500,2,0,12/9/1969,4,06/21/2001,0,38,0,1,12/11/1997,1
224588738,06/27/2008,5,0,7.75,0,USF-842723,6/10/2007,234,1000,5,1,6/12/1979,3,09/22/2007,0,30,0,1,08/15/2002,1
352958627,06/25/2008,2,0,39.61,0,AYX-674971,10/30/1986,258,1000,4,1,6/4/1960,3,5/9/1991,0,55,0,2,05/27/1981,1
159973420,11/19/2008,3,1,86,1,TCL-891297,10/7/2008,86,2000,5,1,8/3/1987,2,6/11/2007,0,13,1,4,3/12/2007,1
686901119,7/11/2008,5,1,10.51,1,WLJ-345211,1/6/2008,61,1000,1,0,11/27/1990,1,7/4/2008,0,13,0,1,1/6/2008,1
572193996,05/31/2008,5,0,4.28,0,TCR-122227,05/23/2005,122,500,1,0,4/4/1940,2,10/29/1984,1,44,0,1,2/9/2004,1
821784944,04/21/2008,5,0,1.98,0,TCI-394250,8/2/1988,66,500,1,0,03/19/1945,2,4/12/1995,1,12,0,1,6/5/1980,1
566485922,05/25/2008,4,0,491.77,0,RED-110312,04/28/1996,1167,3000,3,0,7/9/1966,1,3/11/1984,0,155,1,4,04/18/1988,1
404320539,02/25/2008,4,0,80.39,0,KTM-499943,04/15/1995,189,3000,3,1,5/11/1959,1,12/11/2001,0,59,0,1,03/23/1988,1
600639268,01/16/2008,5,0,24.37,0,BUB-181639,09/30/1991,632,3000,5,0,7/2/1951,4,2/11/1998,0,95,1,2,3/3/1983,0
513679427,11/16/2008,1,0,13.08,0,HXI-448147,04/22/2003,224,1000,5,1,08/21/1979,2,1/9/2008,0,18,1,4,12/24/2000,1
350731566,07/14/2008,5,0,2.98,0,LIN-661944,2/11/1981,86,500,1,0,09/17/1948,1,12/30/2005,0,43,0,1,10/26/1973,1
421028114,9/9/2008,3,0,413.34,0,QAU-075214,12/15/1994,1049,3000,4,0,8/10/1967,4,01/16/2005,0,155,1,5,9/7/1986,1
517070435,03/19/2008,3,0,81.75,0,YEE-232139,8/5/2002,187,3000,2,1,6/9/1971,2,03/25/1998,0,58,1,3,11/26/1997,1
619480252,04/18/2008,4,1,196,0,HTI-593505,5/12/1994,196,1000,1,1,10/8/1966,4,03/22/2005,0,64,1,2,7/9/1989,1
358144648,08/28/2008,3,1,213,0,IOK-613076,10/13/1987,213,500,1,1,4/8/1943,2,8/3/1988,0,159,1,2,3/1/1977,1
303124103,6/7/2008,3,0,87.85,0,QZQ-267195,02/19/2004,254,1000,1,1,4/11/1981,4,05/31/2006,0,45,1,3,8/2/2002,1
403007318,12/2/2008,1,0,3.87,0,TNC-504692,06/19/1990,74,500,3,0,12/23/1930,2,8/7/1996,1,9,1,2,9/11/1984,0
146880683,11/7/2008,2,0,37.68,0,VJZ-332064,9/7/2005,283,2000,5,1,10/6/1984,4,02/21/2008,0,55,0,1,9/10/2003,1
850293641,04/18/2008,1,0,3.68,0,XMX-751974,11/11/1984,63,500,1,0,09/27/1954,1,08/28/2000,0,41,1,2,06/28/1983,1
584905021,04/29/2008,4,0,36.48,0,LVU-471435,10/24/2002,90,3000,2,1,11/3/1931,4,09/26/1990,0,68,1,2,04/26/1997,1
376257624,7/8/2008,5,0,8.82,0,NBG-112376,12/16/2001,136,1000,1,0,2/10/1977,3,9/2/2006,0,47,1,4,4/11/1999,1
242463404,10/17/2008,5,0,59.57,0,GOE-359737,4/11/1998,1035,3000,4,0,9/2/1972,2,10/6/1995,0,65,1,2,7/5/1993,1
87549749,9/10/2008,5,0,38.13,1,JUJ-534745,02/23/1996,852,2000,4,1,09/27/1972,1,05/25/2000,0,35,0,1,3/10/1995,0
986203158,07/29/2008,3,0,71.56,0,SXG-827009,05/20/1992,156,1000,1,1,02/29/1940,1,03/15/2002,1,11,0,1,01/30/1983,1
831160911,11/14/2008,3,1,262,0,SET-636299,7/1/1997,262,3000,1,0,3/11/1965,4,10/27/1997,0,83,1,2,12/17/1990,0
945319077,06/22/2008,5,0,2.45,0,EQU-992481,7/4/1983,129,3000,3,0,02/20/1952,4,04/28/2002,0,38,1,2,04/23/1972,1
250963029,06/22/2008,5,0,9.83,0,GEK-379955,10/1/1991,166,1000,1,0,03/18/1959,4,9/2/1992,0,97,0,1,10/3/1989,1
470234290,10/15/2008,3,0,60.75,0,DTQ-283775,06/25/2000,164,1000,3,1,05/18/1970,4,09/29/2007,0,45,1,2,01/17/1993,0
623185747,6/7/2008,1,0,96.86,0,TQN-547155,05/24/1994,2108,3000,1,0,1/1/1948,1,3/1/1979,0,243,1,3,11/20/1993,1
18439810,02/25/2008,1,0,7.44,0,YBL-164938,08/20/1995,145,2000,1,0,01/27/1952,3,5/6/1997,0,58,1,2,3/9/1988,1
250232031,08/30/2008,3,1,105,0,KXG-508283,11/8/2005,105,1000,1,0,05/15/1983,3,7/6/2007,0,49,0,4,08/19/2003,1
974754160,6/3/2008,5,0,2.33,0,CXO-793410,11/17/2007,59,1000,1,1,12/28/1984,2,05/28/2005,0,21,1,5,12/4/2006,1
344586953,4/1/2008,1,0,11.11,0,OMZ-776598,12/29/2007,201,2000,4,1,8/4/1982,1,11/26/2001,0,17,1,6,11/28/2003,1
874496543,1/11/2008,5,0,3.55,0,VQM-705205,2/10/1994,203,3000,1,1,3/6/1941,3,09/13/2000,0,40,0,1,5/6/1986,1
487400164,7/10/2008,1,0,47.47,0,QXP-342521,06/24/1993,1255,1000,2,1,07/13/1931,2,1/10/1993,0,74,0,2,8/6/1984,1
282689801,03/16/2008,3,1,416,0,EVU-215533,09/26/1982,416,2000,1,1,4/9/1952,5,2/8/1989,0,141,1,4,09/14/1974,1
694288054,05/24/2008,3,1,72,0,ZZO-204876,8/11/1994,72,1000,2,0,11/23/1962,1,5/8/1995,0,60,1,4,06/27/1988,1
346492274,09/30/2008,5,0,3.65,0,GAF-087237,05/20/2008,59,1000,2,1,2/10/1990,2,12/13/2008,0,14,1,6,05/20/2008,1
142128795,4/10/2008,3,0,383.96,0,PJG-593644,2/1/1995,1032,2000,2,1,09/30/1954,2,12/25/1994,0,220,0,2,02/17/1986,0
361126278,09/13/2008,5,0,42.74,1,KVV-520810,05/30/1995,692,3000,4,0,08/14/1971,3,06/15/1996,0,123,0,1,06/13/1993,1
133689667,09/29/2008,1,0,4.87,0,ZTR-822458,03/15/2005,156,1000,4,1,3/9/1983,3,09/20/2007,0,24,1,5,11/30/2004,1
643935931,02/29/2008,1,0,4.38,0,CBR-184976,08/18/2002,154,2000,5,1,10/8/1971,3,12/14/2000,0,29,0,1,7/11/1995,1
358975683,09/28/2008,1,0,13.66,0,NYR-396620,4/9/1991,264,3000,3,0,4/11/1968,1,06/17/1993,0,65,0,3,05/29/1990,1
924135941,4/11/2008,3,0,173.56,0,IDR-147271,03/14/1994,405,3000,4,0,3/7/1972,4,8/11/2005,0,109,1,6,02/27/1992,1
454740754,7/3/2008,5,0,24.49,0,NFE-069397,6/10/2000,486,1000,1,1,7/6/1975,2,06/17/1997,0,47,0,2,11/12/1998,1
968489001,6/5/2008,5,0,25.08,1,UVD-504344,06/27/2001,421,1000,1,1,09/24/1974,1,02/25/2000,0,56,0,1,5/3/1996,1
862643487,7/10/2008,1,0,2.59,1,KFS-176867,1/5/2005,78,1000,3,0,10/2/1984,2,8/2/2008,0,23,1,2,04/23/2004,1
528360933,2/7/2008,3,1,288,0,CBI-121040,03/27/2002,288,1000,5,0,07/30/1971,2,08/13/1992,0,66,0,1,2/2/2002,1
416632962,11/29/2008,4,0,41.12,0,OEP-092711,7/3/2000,109,1000,4,1,04/14/1975,2,4/3/2005,0,50,1,4,12/13/1994,1
518260997,11/4/2008,5,0,10.81,0,HQL-816486,06/21/1989,199,1000,1,0,06/21/1951,4,1/12/2000,0,38,0,1,2/2/1982,1
111290595,8/1/2008,5,0,5.8,0,IHS-739584,05/18/1994,125,2000,4,0,4/11/1959,4,10/26/2005,0,57,0,1,02/17/1987,1
917225100,05/26/2008,5,0,3.98,0,OGH-073376,04/30/1985,117,1000,2,0,12/27/1934,2,05/22/1999,1,12,1,2,08/21/1977,1
421843080,11/5/2008,2,0,8.46,0,LKT-516533,5/2/1995,80,500,3,1,1/6/1944,1,12/7/1993,1,17,0,1,7/3/1989,1
241111972,10/11/2008,1,0,3.67,0,BFQ-924032,02/21/1990,138,1000,2,1,6/2/1959,5,4/6/1993,0,90,1,4,1/10/1980,1
711435597,05/26/2008,5,0,51.09,0,UFV-178699,09/20/2004,1050,3000,2,1,1/12/1939,1,05/23/1991,0,104,0,1,08/15/1999,1
419538371,01/16/2008,3,1,288,0,RXD-703287,07/24/1995,288,1000,1,1,5/11/1962,4,11/25/2002,0,97,0,1,04/22/1989,1
433734179,09/14/2008,4,0,50.14,0,RMD-448964,01/14/1996,125,2000,3,1,1/9/1971,1,8/2/2005,0,32,0,1,09/22/1991,1
508038785,4/8/2008,5,0,27.12,0,TKS-397764,9/9/2003,478,2000,3,0,07/31/1975,1,02/13/2004,0,38,0,3,5/9/1998,1
50635660,06/22/2008,5,0,2.84,0,AMA-134172,11/23/1977,147,1000,3,1,2/4/1930,2,06/25/1978,1,29,1,2,09/19/1965,1
49504286,1/10/2008,1,0,6.42,0,LDJ-759637,02/21/1994,79,1000,2,0,09/16/1961,2,05/26/1995,0,158,0,4,01/14/1988,1
682994238,09/28/2008,4,1,206,0,WUK-022239,07/20/1992,206,2000,1,1,01/18/1955,2,06/15/1991,0,76,0,1,12/13/1985,1
573157695,9/2/2008,1,0,17.08,0,RMR-416420,7/2/2008,417,3000,5,0,04/17/1972,2,11/13/2006,0,58,0,1,08/22/2003,0
19417882,3/10/2008,2,0,10.73,0,FYJ-050815,10/30/1978,110,2000,1,1,08/15/1936,4,09/22/1986,0,160,1,2,3/7/1964,1
873923714,04/29/2008,3,0,185.28,0,CNC-378413,04/27/1987,482,2000,4,1,6/3/1957,4,03/24/1995,0,297,0,1,08/15/1977,1
151843005,02/23/2008,5,0,3.2,0,TKY-295212,6/8/2003,59,200,4,0,07/31/1976,4,11/17/2006,0,20,0,5,2/10/1999,1
7090803,10/19/2008,2,0,45.25,1,CQH-898940,7/4/1982,435,1000,2,1,10/12/1940,2,3/1/1991,1,31,1,3,08/17/1975,1
307216760,11/22/2008,3,0,51.29,0,FPH-106244,06/22/2006,143,1000,1,1,5/10/1980,2,03/18/2006,0,21,1,4,7/7/2003,1
309393091,08/24/2008,3,0,33.59,0,SYK-814777,10/28/1990,77,1000,4,1,3/8/1948,2,11/29/2007,0,34,1,4,08/19/1988,1
464382513,11/5/2008,5,0,15.67,0,EVI-965739,04/18/2003,361,1000,1,0,10/7/1949,3,05/27/2004,0,60,1,2,4/8/1996,1
237997875,07/30/2008,3,0,162.07,0,JOA-944057,11/18/1985,412,2000,4,0,05/18/1956,2,10/17/1991,0,158,1,2,08/31/1985,1
65241360,2/11/2008,2,0,7.64,0,HJU-714615,07/16/2008,74,500,4,1,5/4/1984,2,05/29/2007,0,31,0,1,10/17/2005,1
107494090,10/1/2008,5,1,32.51,0,LYY-428842,10/15/2007,215,2000,4,1,04/18/1980,2,11/2/2004,0,27,0,1,12/12/2005,1
433731820,01/20/2008,3,0,38.3,0,EDH-369503,8/11/1968,78,1000,3,0,12/4/1931,1,7/5/1982,1,57,1,2,11/14/1956,1
637093813,02/21/2008,2,0,7.1,1,JND-821515,08/15/1997,70,500,2,0,10/2/1968,2,10/3/1994,0,55,0,1,12/7/1991,1
394423115,6/4/2008,3,1,123,0,BJH-998770,05/30/1981,123,500,2,1,11/25/1936,1,08/27/1996,1,16,0,1,04/29/1974,1
918639382,02/22/2008,4,0,27.27,0,RMV-378281,1/11/2006,84,1000,4,0,03/28/1985,3,1/6/2008,0,16,1,3,1/12/2004,1
625598173,11/2/2008,3,0,205.23,0,SGB-455820,6/8/2007,436,1000,5,0,11/23/1977,2,10/13/2004,0,49,0,1,12/20/2004,1
641733003,5/11/2008,5,0,3.4,0,PEE-286537,10/8/2007,138,500,2,0,9/1/1988,3,07/14/2008,0,34,0,5,12/2/2007,1
367078276,10/6/2008,2,0,8.61,0,QHP-952408,03/17/1987,70,3000,2,1,03/21/1935,4,11/20/2001,1,16,1,2,2/12/1979,1
107461305,05/14/2008,1,0,4.78,1,KSF-832345,06/25/2007,102,1000,4,0,01/15/1987,2,10/15/2007,0,27,1,5,05/15/2007,1
886899767,8/5/2008,3,0,112.41,0,FQU-995255,2/6/1996,264,1000,4,1,02/17/1958,2,3/10/1987,0,70,1,2,09/26/1988,0
497084859,03/16/2008,1,0,13.34,0,VDN-552833,07/29/2002,360,3000,2,0,09/26/1981,3,08/13/2008,0,24,1,5,02/20/2000,1
765943822,2/8/2008,1,0,32.27,0,FBY-819216,07/31/2003,774,2000,2,1,05/26/1971,1,02/20/1992,0,99,1,3,7/5/1999,1
83656177,05/27/2008,4,1,102,0,XTG-997061,08/26/2001,102,1000,2,1,05/23/1961,1,02/17/2005,0,29,0,3,01/15/2000,1
294122433,12/5/2008,1,0,5.1,0,HRX-450503,02/25/1992,102,1000,2,0,12/23/1953,1,09/13/2000,0,43,1,2,2/9/1986,1
875982811,1/11/2008,1,0,11.16,1,TCP-927771,06/25/2001,201,500,2,0,11/19/1976,3,03/26/1999,0,32,1,2,3/6/1998,1
